mass_A
t	x	y
0	0.02625141043	0.7467922154
0.01	0.02648660598	0.745950485
0.02	0.02628464048	0.7442895795
0.03	0.02670580678	0.7418872984
0.04	0.02611988511	0.7383891936
0.05	0.02717619355	0.7332871357
0.06	0.02746558832	0.7278668044
0.07	0.02707758958	0.7216282131
0.08	0.02728168588	0.7147288629
0.09	0.02797614657	0.7069250053
0.1	0.02893099396	0.6978465357
0.11	0.02967983737	0.6879610967
0.12	0.03043489846	0.6770956058
0.13	0.03108343673	0.6649074434
0.14	0.03181252267	0.6526093478
0.15	0.03264935751	0.6391420502
0.16	0.03341959651	0.6247093153
0.17	0.03419223628	0.6094586103
0.18	0.03517712317	0.5931940859
0.19	0.03621453532	0.5761014719
0.2	0.03704467508	0.5578583656
0.21	0.03791873169	0.5388625885
0.22	0.03897623974	0.518996702
0.23	0.03996991077	0.4979588204
0.24	0.04087883657	0.4761274739
0.25	0.04171170312	0.4537102799
0.26	0.04274518487	0.430386741
0.27	0.04408754297	0.4060344425
0.28	0.0452048652	0.380863459
0.29	0.04656904675	0.354743542
0.3	0.0476380364	0.3277784587
0.31	0.0497358137	0.3003897236
0.32	0.05627056854	0.2741387288
0.33	0.06387635526	0.2471530264
0.34	0.073349366	0.2206517238
0.35	0.08457701671	0.193932771
0.36	0.09806249097	0.168069686
0.37	0.1137401962	0.1434044903
0.38	0.1319332996	0.1204984082
0.39	0.1518136623	0.09904929753
0.4	0.1742466172	0.08017805659
0.41	0.1966119966	0.06529126991
0.42	0.2207377672	0.0516699746
0.43	0.2470646053	0.04200518948
0.44	0.272195345	0.03548269667
0.45	0.297324208	0.03102990241
0.46	0.3225207851	0.02809289721
0.47	0.3477337903	0.02615479129
0.48	0.3720355236	0.02544701905
0.49	0.3959061642	0.02514959848
0.5	0.4192720074	0.02328152694
0.51	0.4428734611	0.02307765801
0.52	0.4656001808	0.02303310651
0.53	0.4884997536	0.02319538292
0.54	0.5110034767	0.02328398651
0.55	0.5333808563	0.02339713922
0.56	0.5550633816	0.02365211045
0.57	0.576499338	0.02556008646
0.58	0.597495945	0.02355605381
0.59	0.6190116706	0.02308651814
0.6	0.6399378403	0.02298362344
0.61	0.6608704287	0.02304308044
0.62	0.6813635839	0.02295559977
0.63	0.7014443195	0.02287076414
0.64	0.7213170731	0.02302879955
0.65	0.7411193733	0.02301942183
0.66	0.7610563085	0.02293314489
0.67	0.7801193632	0.02564524534
0.68	0.8008662468	0.02271247695
0.69	0.8208624294	0.02275357994
0.7	0.840298091	0.02291508274
0.71	0.8598600749	0.02301927203
0.72	0.8793230189	0.0230393235
0.73	0.8991286472	0.02315379835
0.74	0.9182211456	0.02318821971
0.75	0.9377664131	0.02325393157
0.76	0.9566570702	0.02329636647
0.77	0.9760955496	0.02513672538
0.78	0.9954942469	0.02338455076
0.79	1.015095851	0.02340942788
0.8	1.034478183	0.02374069064
0.81	1.053485103	0.02394236476
0.82	1.072633497	0.02434020349
0.83	1.09179672	0.02464150243
0.84	1.110581391	0.0244997665
0.85	1.130010433	0.02468260638
0.86	1.149476932	0.02448476684
0.87	1.167340623	0.02696463826
0.88	1.18677308	0.02476024221
0.89	1.205139251	0.02469778558
0.9	1.22399398	0.02459078643
0.91	1.243064829	0.02458105949
0.92	1.261715288	0.02463519184
0.93	1.280333139	0.02454170747
0.94	1.298622253	0.02463263699
0.95	1.316967577	0.02471227065
0.96	1.33568632	0.02452839171
0.97	1.354222167	0.0258188099
0.98	1.376596869	0.02638898449
0.99	1.356279269	0.02439083082
1	1.381035937	0.02502039701
